App name,Developer,Release,Score,Price,Paper's urls,Paper's category
Beats Medical Dyspraxia App,Beats_Medical,[],[],Free,['https://link.springer.com/article/10.1186/1471-2431-12-112'],['observational study']
Meister Cody - Talasia,Meister Cody GmbH,"Dec 4, 2014",3.69,Free,"['https://link.springer.com/chapter/10.1007/978-3-319-40612-1_12', 'https://www.sciencedirect.com/science/article/pii/S0360131520300361', 'https://ieeexplore.ieee.org/abstract/document/7939295/']","['observational study', 'randomised control trials', 'observational study']"
DYS2GO - learning game for dyslexic young adults,GedonSoft,"Jan 8, 2021",0.00,Free,[],[]
Aleph Bet Dyslexia Games Phonological Disorder,Esther Golda Friedman,[],[],0.99,[],[]
KOBI - Helps Children Read,Hopalai d.o.o.,"Aug 21, 2019",4.09,Free,"['https://ieeexplore.ieee.org/abstract/document/7295877/', 'https://ieeexplore.ieee.org/abstract/document/1637347/', 'https://link.springer.com/article/10.1007/s10209-021-00841-z']","['randomised control trials', 'observational study', 'observational study']"
